feature,mean_abs_shap,dry_mean_abs_shap
nino34_lag1,0.3652204,0.2809008
nino34_lag2,0.25349793,0.2688468
month_sin,0.17495288,0.2375848
month_cos,0.0915734,0.16574135
pr_nbr_mean,0.090969704,0.1327696
spi6_nbr_mean,0.062172487,0.06554722
spi1_nbr_mean,0.0541887,0.06324982
spi3_nbr_mean,0.051192977,0.0516795
spi1_lag3,0.04900292,0.043011878
pr_lag2,0.033546537,0.029416928
spi1_lag2,0.031391945,0.037342478
spi3_lag1,0.028408898,0.022367684
pr_lag3,0.026096532,0.022895776
spi1_lag1,0.024574166,0.03491728
pr_lag1,0.016578563,0.024913466
spi6_lag1,0.013842997,0.02388935
